Model,Accuracy,Precision,Recall,F1
Naive Bayes,0.9138022210470651,0.859375,0.9306541773681825,0.8935954159715674
Logistic Regression,0.9539338386509195,0.942514788411952,0.9388125094425139,0.9406600060551015
SVM,0.9592808038075092,0.948939393939394,0.9462154403988517,0.9475754595657765
